media;pays_siege;theme_media;note;indice_fiabilite;notation;justification
12News;United States;Local/Régional;5;4.5;F;
20VC Episodes;United Kingdom;;;3;C;Podcast, auteurs précisé
24.hu;Hungary;;;2;B;
24/7 Wall St.;United States;Business;5;4;D;Marchés, auteur précisé
2oceansvibe News;South Africa;Généraliste;5;4.5;F;
36 Kr;China;Tech;5;4;D;Média en ligne, pas d'auteur précisés
36Kr English;China;;;4;D;Média en ligne, pas d'auteur précisés
444.hu;Hungary;;;4;D;Média en ligne, peu d'auteur précisés
500 Global News;;;;4.5;F;
5newsonline.com;United States;Généraliste;5;4.5;F;
80 Level;Cyprus;Tech;5;4.5;F;
9to5Mac;United States;Tech;5;3;C;Média, auteurs précisés
9to5Toys;United States;Tech;5;3;C;Média, auteurs précisés
a16z crypto;United States;Tech;5;4;D;Crypto, auteurs précisés
a16z Insights;United States;;;4;D;Crypto, auteurs précisés
Aaj Tak;India;;;2;B;
ABC Columbia;United States;Généraliste;5;1;A;
ABC News;United States;;;1;A;
ABC News Australia;Australia;;;1;A;
ABC15 Arizona;United States;Local/Régional;5;1;A;
ABC27;United States;Local/Régional;5;1;A;
About Amazon;United States;Tech;5;2;B;
aciafrica.org;Kenya;Généraliste;5;2;B;Think tank incoonu
Acquired Episodes;;;;4.5;F;
AD HOC NEWS;Germany;Généraliste;5;4.5;F;
Ad-hoc-news.de;Germany;Généraliste;5;4.5;F;
AdExchanger;United States;Généraliste;5;4.5;F;
ADWEEK;United States;Business;5;4.5;F;
Africa Business Communities;Uganda;Business;5;4.5;F;
Africa Center for Strategic Studies;United States;Tensions/guerre/violences/géopolitique;5;4.5;F;
Africa Confidential;United Kingdom;Tensions/guerre/violences/géopolitique;5;4.5;F;
Africa Defense Forum;United States;Tensions/guerre/violences/géopolitique;5;4.5;F;
Africa Intelligence;France;Tensions/guerre/violences/géopolitique;5;2;B;Média, auteurs précisés
Africa News;;Agrégateur;;3;C;Média, auteurs précisés, risque diplo
Africa Science News;Kenya;Généraliste;5;4.5;F;
Africa Startups;;Agrégateur;;4;D;Peu d'auteurs renseigné
Africa Tech News;;Agrégateur;;4;D;Peu d'auteurs renseigné
Africa24 TV;Cameroon;Généraliste;5;4.5;F;
African Arguments;United Kingdom;Généraliste;5;4.5;F;
African Union,Peace and Security Department;Ethiopia;Tensions/guerre/violences/géopolitique;5;4.5;F;
africanews.com;France;Généraliste;5;4.5;F;
afrobasket.com;Luxembourg;Sports;5;4.5;F;
Aftermath;United States;Généraliste;5;4.5;F;
Agence de Presse Africaine;Senegal;Généraliste;5;4.5;F;
Agriculture;;Agrégateur;;5;E;Mot-clé
AI Interviews;;Agrégateur;;5;E;Mot-clé
AI Magazine;United Kingdom;Tech;5;4.5;F;
AI News;;Agrégateur;;5;E;Mot-clé
AI Now Institute;United States;;;5;E;Mot-clé
AI Podcasts;;;;4.5;F;
AI Regulation;;Agrégateur;;5;E;Mot-clé
AI Weekly;;Agrégateur;;5;E;Mot-clé
AI: Reset to Zero;United Kingdom;Tech;5;4.5;F;
AJC.com;United States;Généraliste;5;4.5;F;
Akron Beacon Journal;United States;Local/Régional;5;4.5;F;
Al Arabiya English;United Arab Emirates;Généraliste;5;2;B;Presse, risque d'influence
Al Jazeera;Qatar;Généraliste;2;2;B;Presse, risque d'influence
Al-Monitor;United States;Généraliste;5;4.5;F;
All-In Podcast;United States;;;5;E;Mot-clé
allAfrica.com;South Africa;Généraliste;5;4.5;F;
ALM Corp;United States;Politique;5;4.5;F;
Aluminum & Zinc;;Agrégateur;;5;E;Mot-clé
American Nuclear Society;United States;Généraliste;5;4.5;F;
American Press;United States;Généraliste;5;4.5;F;
Americana UK;United Kingdom;Généraliste;5;4.5;F;
Amnesty International USA;United States;Tensions/guerre/violences/géopolitique;5;4.5;F;
Anadolu Ajansı;Turkey;Généraliste;5;4.5;F;
Anash.org;United States;Généraliste;5;4.5;F;
Andreessen Horowitz;United States;Tech;5;5;E;Blog
AngelList News;United States;;;3;C;Entreprise, auteurs peu précisés
ANSA;Italy;;;1;A;Agence de presse Italienne
Anthropic;United States;Tech;5;4.5;F;
Anthropic News;United States;;;2;B;Entreprise, auteurs précisés
AOL.com;United States;Généraliste;5;3;C;Média, auteurs précisés
AP News;United States;Généraliste;5;1;A;Presse
Apex News Exclusive;United States;Généraliste;5;4.5;F;
Arab News;Saudi Arabia;;;2;B;Presse, risque d'influence?
Arab News PK;Pakistan;Généraliste;5;4.5;F;
Arabian Business;United Arab Emirates;Business;5;2;B;Entreprises, auteurs précisés
ARC Advisory Group;United States;Généraliste;5;4.5;F;
ArcticStartup;Finland;Tech;5;4.5;F;
Arizona PBS;United States;Local/Régional;5;4.5;F;
Arms Control Assn;United States;;;3;C;Média en ligne, auteur précisés
Ars Technica;United States;Tech;3;2;B;Think tank incoonu
Artvoice;United States;Généraliste;5;4.5;F;
ArXiv;United States;;;2;B;Think tank incoonu
ASEAN Main Portal;Indonesia;Généraliste;5;4.5;F;
Asia Business Outlook;India;Business;5;4.5;F;
Asia News;;Agrégateur;;5;E;Mot-clé
Asia News Network;Singapore;Généraliste;5;4.5;F;
Asia Pacific Tech;;Agrégateur;;5;E;Mot-clé
Asia Society;United States;Généraliste;5;4.5;F;
Asia Tech Review;Singapore;Tech;5;4.5;F;
Asia VC News;;Agrégateur;;5;E;Mot-clé
Athlon Sports;United States;Sports;5;4.5;F;
Atlantic Council;United States;;;1;A;Think Tank connu
Audacy;United States;Généraliste;5;4.5;F;
Australian Broadcasting Corporation;Australia;Généraliste;5;4.5;F;
Automotive News;United States;Business;5;4.5;F;
AWS Status;United States;;;4;D;
Axios;United States;Politique américaine;2;1;A;Presse
AZ Big Media;United States;Généraliste;5;4.5;F;
AZ Family;United States;Local/Régional;5;4.5;F;
Bainbridge Island Review;United States;Local/Régional;5;4.5;F;
Baird Maritime;Australia;Business;5;4.5;F;
Balkan Green Energy News;Serbia;Environnement;5;4.5;F;
Balkan Insight;Serbia;;;2;B;Presse
Baltimore Sun;United States;Local/Régional;5;4.5;F;
Bangkok Post;Thailand;;;2;B;Presse
Bank Research;;Agrégateur;;5;E;Mot-clé
Banking Rules;;Agrégateur;;5;E;Mot-clé
Barchart;United States;Généraliste;5;4.5;F;
Barrett Media;United States;Généraliste;5;4.5;F;
Barron's;United States;Business;5;3;C;Entreprise, auteurs précisés
Basic Tutorials;Germany;Généraliste;5;4.5;F;
Bass Magazine;United States;Généraliste;5;4.5;F;
BBC;United Kingdom;Généraliste;2;1;A;Presse
beIN SPORTS;Qatar;Sports;5;4.5;F;
BeInCrypto;Seychelles;Business;5;4.5;F;
Bellingcat;Netherlands;;;2;B;Média, auteurs précisés
Benchmark Mineral;United Kingdom;;;4;D;Média en ligne, auteur non précisés
Benzinga;United States;Business;5;3;C;Média en ligne, auteur précisés
Bergen Record;United States;Local/Régional;5;4.5;F;
BettingPros;United States;Sports;5;4.5;F;
bgr.com;United States;Généraliste;5;4.5;F;
BHP News;Australia;;;3;C;Entreprise
Bild;Germany;;;1;A;Presse
Billboard;United States;Société/Culture/Positif;5;4.5;F;
BioSpace;United States;Business;5;4.5;F;
Bitcoin Magazine;United States;Business;5;4;D;Média en ligne, auteur non précisés
Bitcoin World;China;Business;5;4.5;F;
Bitget;Seychelles;Généraliste;5;4.5;F;
BitPinas;Philippines;Généraliste;5;4.5;F;
Biz & IT - Ars Technica;United States;Tech;5;4;D;Média en ligne, auteur non précisés
BizzBuzz;India;Business;5;4.5;F;
